Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2.021E+11;3;3;0;D;-1;2;0;2;29;500;3;;-1;2;5;1;-1
2.021E+11;3;32;0;D;-1;2;0;1;15;600;3;;-1;2;0;1;80
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;2;;4;2;0;3;80
2.021E+11;3;15;0;D;2;2;0;1;27;800;1;;-1;1;4;6;50
2.021E+11;1;A7-Sens Lyon vers Marseille;0;N/A;3;3;0;1;269;0;1;;-1;7;0;1;110
2.021E+11;4;BRANLY BOULEVARD EDOUARD;0;N/A;2;0;0;1;-1;-1;1;;-1;1;0;4;30
2.021E+11;4;N/A;-1;N/A;2;2;2;1;-1;-1;3;;-1;2;-1;1;50
2.021E+11;4;N/A;-1;N/A;2;4;3;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;CARNOT ( BOULEVARD );0;N/A;3;1;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;CLAUDE BERNARD (RUE );0;N/A;4;1;0;1;0;0;1;;-1;2;5;1;30
2.021E+11;4;BALZAC (RUE);0;N/A;2;2;0;1;0;100;1;;-1;1;5;1;30
2.021E+11;3;32;0;D;2;2;0;2;66;670;1;;-1;1;0;1;80
2.021E+11;3;415;-1;N/A;2;1;0;1;4;770;3;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;9;1;50
2.021E+11;3;EUROPE (AVENUE DE L');0;N/A;2;2;0;1;0;1;1;;-1;1;5;1;50
2.021E+11;7;RENE CAILLOUX (BD );0;N/A;1;1;0;2;0;0;1;;-1;1;0;1;50
2.021E+11;7;ROUTE DEPARTEMENTALE 20;0;N/A;1;2;0;2;0;9;3;;-1;1;0;3;90
2.021E+11;7;GEORGES POMPIDOU (AV );0;N/A;2;1;0;1;0;9;1;;-1;1;0;3;80
2.021E+11;4;MIRABEAU (COURS);0;N/A;2;1;0;1;0;0;1;;-1;2;6;6;30
2.021E+11;4;VALLON DE TOULOUSE (RUE);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;4;50
2.021E+11;3;1504;-1;N/A;2;2;0;1;49;1382;3;;-1;1;0;1;80
2.021E+11;3;25;0;D;2;2;0;1;4;1;1;;-1;1;0;1;80
2.021E+11;4;JEAN PERRIN (AVENUE);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2.021E+11;3;SAINT-OMER (ROUTE DE...............);0;N/A;2;2;0;1;10;50;1;;-1;2;0;1;80
2.021E+11;4;N/A;-1;N/A;2;-1;-1;2;-1;-1;2;;-1;9;0;1;90
2.021E+11;3;N/A;-1;N/A;2;-1;-1;1;2;600;1;;-1;2;5;1;50
2.021E+11;3;EUROPE (AVENUE DE L');0;N/A;2;2;0;2;0;1;3;;-1;2;0;1;50
2.021E+11;3;CONDE (AVENUE DE);0;N/A;3;2;1;1;-1;-1;1;;-1;1;0;8;50
2.021E+11;3;DEPORTES (RUE DES);0;N/A;2;2;2;1;-1;-1;1;;-1;1;0;5;50
2.021E+11;4;MARCEL SEMBAT (RUE);0;N/A;2;2;0;1;-1;-1;3;;-1;1;0;4;50
2.021E+11;4;ALEX. FLEMING (BOULEVARD);0;N/A;3;5;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;N/A;0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;4;ST PIERRE (QUAI);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;2;1;-1;-1;1;;-1;1;-1;5;50
2.021E+11;2;RN1 (ROUTE NATIONALE);0;N/A;3;2;0;3;55;0;1;;-1;1;9;1;110
2.021E+11;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;9;0;1;50
2.021E+11;7;CHEVILLES ( ALLEE DES );0;N/A;2;2;0;1;0;9;1;;-1;1;0;3;50
2.021E+11;4;N/A;0;N/A;1;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;N/A;0;N/A;3;4;3;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;CESSOLE (BD DE) (JUSQU'AU NÂ° 93-110);0;N/A;2;3;3;2;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;ANGLAIS (A PARTIR DU NÂ° 351);0;N/A;3;6;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;BELLET (RTE DE);0;N/A;2;2;0;1;-1;-1;2;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;1;2;0;1;-1;-1;2;;5;1;5;1;50
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;m'tsapere-MosquÃ©e Maevantana (ruelle );0;N/A;2;0;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;2;RN2/091;0;N/A;-1;1;0;2;-1;-1;3;;-1;1;9;1;30
2.021E+11;3;BOIS SABOT (RUE DU);0;N/A;2;2;0;2;0;0;1;;-1;1;0;1;50
2.021E+11;4;BOULEVARD POISSONNIERE;0;N/A;2;3;1;1;-1;-1;1;;-1;1;-1;6;30
2.021E+11;2;30;0;N/A;2;2;0;1;59;800;1;;-1;1;0;1;80
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;80
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;BERRY (AVENUE DU);0;N/A;2;2;0;1;0;1;1;;-1;1;6;1;30
2.021E+11;7;GEORGES POMPIDOU (AV );0;N/A;2;2;0;1;0;100;1;;-1;1;0;1;50
2.021E+11;7;DOUAI (BOULEVARD DE);0;N/A;3;5;0;1;-1;-1;1;;-1;1;5;1;50
2.021E+11;4;MOULIN (PLACE JEAN);0;N/A;1;0;0;2;1;0;1;;-1;2;0;4;40
2.021E+11;3;CD 677;0;N/A;2;3;0;1;499;0;1;;-1;1;5;1;50
2.021E+11;2;BRETELLE ACCES RD203/RN184;0;N/A;3;4;0;1;23;770;1;;-1;2;0;1;90
2.021E+11;4;CREQUI (DE)                         (R );0;N/A;1;1;2;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;MARECHAL LYAUTEY (DU)               (PL);0;N/A;1;1;2;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;6;VERDANNES (ROUTE DES);0;N/A;-1;-1;3;1;1;0;1;;-1;2;6;8;10
2.021E+11;3;CORNICHE (ROUTE DE LA)  CD21;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2.021E+11;9;JULES PHILIPPE (QUAI);0;N/A;-1;0;3;1;0;0;1;;-1;1;0;6;30
2.021E+11;3;ORLEANS (ROUTE D');0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;80
2.021E+11;4;GUILLEMOTTES(RUE DES);0;N/A;2;2;0;2;0;0;2;;-1;2;0;1;50
2.021E+11;3;N/A;0;N/A;2;2;0;2;9;174;3;;-1;1;0;3;50
2.021E+11;3;N/A;0;N/A;2;2;0;2;21;911;1;;-1;2;0;3;50
2.021E+11;3;PLAN (ROUTE DU) -D304-;0;N/A;2;2;0;1;0;288;1;;-1;1;0;1;50
